,text,text_clean
401,"Zuruck zu den Sachen Selbst? For Fink, it is a call to re-establish an original 
",zuruck zu den sachen selbst fink call reestablish original
402,"closeness to being by overcoming the obscurity caused by tradition and history. 
",closeness overcoming obscurity caused tradition history
403,"""Original"" means here the mode of access to being, which does not point back 
",original means mode access point back
404,"to any other (as memory points back to perception), it amounts to a seeing 
",memory points back perception amounts seeing
405,"which is also a self-givenness of being, an experience which is knowingly-being-
",also selfgivenness experience knowinglybeing
406,"with-the-existent. Funke's understanding of the ""Sache"" is not very far 
",withtheexistent funkes understanding sache far
407,"removed from this: it is the transcendental subjectivity as that which shows 
",removed transcendental subjectivity shows
408,"itself by itself, and by which all theses and position-takings are validated. It is 
",theses positiontakings validated
409,"surprising how utterly the early ""realistic"" phenomenologists failed to realise 
",surprising utterly early realistic phenomenologists failed realise
410,"that Husserl's transcendental move was not tantamount to abandoning the 
",husserls transcendental move tantamount abandoning
411,"original program of returning to the Sachen selbst. 
",original program returning sachen selbst
412,"What does the ""return,"" the going back, mean? For Fink, it is a ""radical 
",return going back mean fink radical
413,"turning back,"" which is not possible without the famed epoche. T~ere are 
",turning back possible without famed epoche tere
414,"various questions about the epoche which these commentators raise here as 
",various questions epoche commentators raise
415,"well as elsewhere. First, what could motivate the reduction? In the Ideas I, 
",well elsewhere first could motivate reduction ideas
416,"Husserl's manner of introduction of the reduction suggests as though it is a 
",husserls manner introduction reduction suggests though
417,"matter of our freedom not to participate in the beliefs of the natural 
",matter freedom participate beliefs natural
418,"standpoint. As long as the necessity of this step is not further grounded, 
",standpoint long necessity step grounded
419,"Landgrebe finds here a naivety that needs to be overcome. In the Erste 
",landgrebe finds naivety needs overcome erste
420,"Philosophie II, the radical philosopher's search for an absolute beginning is 
",philosophie ii radical philosophers search absolute beginning
421,"traced back to the fact of cognitive striving towards a totally grounded 
",traced back fact cognitive striving towards totally grounded
422,"knowledge. But the question remains, how can this mundane fact about the 
",knowledge question remains mundane fact
423,"governing telos of man's cognitive life motivate an epoche that is to 
",governing telos mans cognitive life motivate epoche
424,"comprehend the entire mundane order of discourse? In his important 1933 
",comprehend entire mundane order discourse important
425,"essay, Fink recognises this problem and insists that in the natural attitude 
",essay fink recognises problem insists natural attitude
426,"reduction would of course appear ""unmotivated,"" while it is for the first time 
",reduction would course appear unmotivated first time
427,"in the transcendence of the world that it is seen in its ""transcendental 
",transcendence world seen transcendental
428,"motivation. ""15 Fink can therefore say that the reduction presupposes itself 
",motivation fink therefore say reduction presupposes
429,"and that the true theory of reduction cannot be stated at the beginning of the 
",true theory reduction cannot stated beginning
430,"reduction. In his 1939 essay, included in this volume, Fink insists that 
",reduction essay included volume fink insists
431,"phenomenology is not inspired by the traditional concept of philosophy or by 
",phenomenology inspired traditional concept philosophy
432,"a traditional idea of cognitive procedure. It is phenomenology alone which 
",traditional idea cognitive procedure phenomenology alone
433,"establishes the concept of a phenomenological philosophy in the sense of a 
",establishes concept phenomenological philosophy sense
434,"striving after the original connection between being and knowledge. The 
",striving original connection knowledge
435,"reduction, therefore, is not a methodological step to isolate a new region, i.e., 
",reduction therefore methodological step isolate new region ie
436,"the region of pure consciousness, for pure consciousness is not a region at all. 
",region pure consciousness pure consciousness region
437,"It certainly lays bare transcendental subjectivity, but transcendental 
",certainly lays bare transcendental subjectivity transcendental
438,"subjectivity is not a region like the regions ""material being,"" ""living being"" or 
",subjectivity region like regions material living
439,"""psychic being."" In the 1933 essay, Fink had so much emphasised the divide 
",psychic essay fink much emphasised divide
440,"between the mundane and the transcendental that he thought it impossible to 
",mundane transcendental thought impossible
441,"correctly understand the sense of reduction as long as one takes the ""I"" that 
",correctly understand sense reduction long one takes
442,"lives in the world-belief and the ""I ""that effects the epoche as one and the same, 
",lives worldbelief effects epoche one
443,"i.e., as long as they are identified simpliciter. The clue, for him, lies in 
",ie long identified simpliciter clue lies
444,"recognising the most peculiar identity of the three ""I ""s: the I or man, the 
",recognising peculiar identity three man
445,"transcendental I, and the I which performs the epoche, i.e., the transcendental 
",transcendental performs epoche ie transcendental
446,"observer. 16 However, in the essay on operative concepts, Fink perceives a 
",observer however essay operative concepts fink perceives
447,"much closer relation between the mundane and the transcendental, for now 
",much closer relation mundane transcendental
448,"II 
",ii
449,"reduction is understood as Husserl's way of dealing with and appropriating 
",reduction understood husserls way dealing appropriating
450,"the tension between the thematic and opetative concepts of his thinking, 
",tension thematic opetative concepts thinking
451,"whereby transcendental subjectivity previously operative and lived through is 
",whereby transcendental subjectivity previously operative lived
452,"sought to be brought out of the shadow into thematic light. This is not to say 
",sought brought shadow thematic light say
453,"that H usserl succeeded in this enterprise. If Fink is correct, no philosopher 
",h usserl succeeded enterprise fink correct philosopher
454,"could succeed in fully resolving that tension. In the present case, Fink insists 
",could succeed fully resolving tension present case fink insists
455,"on a resulting indeterminacy in Husserl's exposition of reduction. For 
",resulting indeterminacy husserls exposition reduction
456,"example, Husserl could not quite separate the purely transcendental sense of 
",example husserl could quite separate purely transcendental sense
457,"the epoche from the natural. The understanding of epoche as neutralisation of 
",epoche natural understanding epoche neutralisation
458,"a belief originates from the intra-worldly situation, and yet Husserl continued 
",belief originates intraworldly situation yet husserl continued
459,"to speak of neutralising the total world-belief! 
",speak neutralising total worldbelief
460,"Landgrebe also rejects the conception of reduction as a merely preparatory 
",landgrebe also rejects conception reduction merely preparatory
461,"methodological step. With his historically oriented approach, he grounds the 
",methodological step historically oriented approach grounds
462,"necessity of reduction in our mode of existence together with our historical 
",necessity reduction mode existence together historical
463,"situation. 17 Landgrebe therefore concedes that Heidegger's critique of the 
",situation landgrebe therefore concedes heideggers critique
464,"reduction as a renewal of epistemological Cartesianism was too hasty, for-
",reduction renewal epistemological cartesianism hasty
465,"as Landgrebe understands it - the bracket lets the world stay within the 
",landgrebe understands bracket lets world stay within
466,"brackets, and at the same time reveals the ego not as a self-enclosed 
",brackets time reveals ego selfenclosed
467,"immanence but as intersubjectivity. In fact, as he insists later on, the 
",immanence intersubjectivity fact insists later
468,"transcendental subjectivity that is laid bare through the reduction should not 
",transcendental subjectivity laid bare reduction
469,"properly be called subjectivity. It is rather the inseparable unity of world 
",properly called subjectivity rather inseparable unity world
470,"experiencing and its correlate, the experienced world, within which unity the 
",experiencing correlate experienced world within unity
471,"distinction between subject and object, inner and outer, is after all possible.1 8 
",distinction subject object inner outer possible
472,"How are we to understand ""constitution?"" Again, Landgrebe and Fink have 
",understand constitution landgrebe fink
473,"set the stage for much discussion in the literature on the concept of 
",set stage much discussion literature concept
474,"constitution. In his 1933 essay, Fink had distinguished between three stages in 
",constitution essay fink distinguished three stages
475,"our understanding of one and the same intentional life: the psychic intention 
",understanding one intentional life psychic intention
476,"(mental act understood as an event in the natural world) is receptive, the 
",mental act understood event natural world receptive
477,"transcendental act-intentionality is neither fully receptive nor creative and in 
",transcendental actintentionality neither fully receptive creative
478,"that sense 
",sense
479,"indeterminate, while the transcendental constituting 
",indeterminate transcendental constituting
480,"intentionality is creative and productive. 19 In the essay on operative concepts, 
",intentionality creative productive essay operative concepts
481,"Fink appears to have somewhat modified his position: now he distinguishes 
",fink appears somewhat modified position distinguishes
482,"between a naive sense of ""constitution"" and a transcendental sense. In the 
",naive sense constitution transcendental sense
483,"naive sense, constitution is putting together (Zusammenstellung); in the 
",naive sense constitution putting together zusammenstellung
484,"transcendental sense, it is performance (Leistung). Fink also distinguishes 
",transcendental sense performance leistung fink also distinguishes
485,"between two ways of understanding the concept of ""performance"": it may be 
",two ways understanding concept performance may
486,"taken as a making or production (which he calls the rough meaning) or it may 
",taken making production calls rough meaning may
487,"be understood in the sense in which one says ""An orator performed 
",understood sense one says orator performed
488,"beautifully"" (which, Fink regards as the subtle meaning). Fink's main point is 
",beautifully fink regards subtle meaning finks main point
489,"that H usserlfinds the concept of ""constitution ""in its ordinary use with regard 
",h usserlfinds concept constitution ordinary use regard
490,"to the mundane domain, and gives it a transcendental sense. The relation of 
",mundane domain gives transcendental sense relation
491,"the transcendental sense to the mundane is not adequately clarified. If Fink's 
",transcendental sense mundane adequately clarified finks
492,"general thesis is correct. a complete clarification of such a concept is just not 
",general thesis correct complete clarification concept
493,"possible. It is one of those necessarily grey and shadowy areas which every 
",possible one necessarily grey shadowy areas every
494,"philosophy generates; an operative concept which Husser! sought, without 
",philosophy generates operative concept husser sought without
495,"complete success, to thematise and illuminate. Husserl's concept of 
",complete success thematise illuminate husserls concept
496,"constitution, then, is beyond the alternatives of Erzeugen and Vernehmen. 
",constitution beyond alternatives erzeugen vernehmen
497,"What it is, is not clear and cannot be made clear. 
",clear cannot made clear
498,"Funke agrees with this. When we describe constitution in mundane 
",funke agrees describe constitution mundane
499,"language, he writes, that can only be analogical. Actually, constitution is a 
",language writes analogical actually constitution
500,"relation (?) between the pre-mundane and the mundane. It is ""not a mundane, 
",relation premundane mundane mundane
501,"methodical construction, not a demiurge's fabrication and not a mystical 
",methodical construction demiurges fabrication mystical
502,"creation ex nihilo. ""20 The mundane distinction between activity and passivity 
",creation ex nihilo mundane distinction activity passivity
503,"does not apply to the pre-mundane. 
",apply premundane
504,"One of the conceptual difficulties in interpreting H usserl at this point 
",one conceptual difficulties interpreting h usserl point
505,"concerns the passivity-activity distinction in his philosophy. Not only are 
",concerns passivityactivity distinction philosophy
506,"both Fink and Funke aware that in some way this distinction, taken from 
",fink funke aware way distinction taken
507,"mundane discourse, needs to be overcome in transcendental philosophy, even 
",mundane discourse needs overcome transcendental philosophy even
508,"Jean Wahl in his essay on Experience and Judgment, included in the present 
",jean wahl essay experience judgment included present
509,"volume, recognises that Husser! tends to relativise that distinction. Husserl, 
",volume recognises husser tends relativise distinction husserl
510,"on Wahl's reading of the text, knows of a passivity prior to act, but also of a 
",wahls reading text knows passivity prior act also
511,"passivity within an act; at the same time, Wahl thinks, Husserl assigns a role 
",passivity within act time wahl thinks husserl assigns role
512,"to activity within the passive doxa. On Wahl's own view, of course - since he 
",activity within passive doxa wahls view course since
513,"welcomes what he reads as Husserl's progress towards empiricism - it is more 
",welcomes reads husserls progress towards empiricism
514,"in consonance with empiricism to regard activity as a higher stage of passivity, 
",consonance empiricism regard activity higher stage passivity
515,"rather than - as I think, Leibnitz did - taking passivity as a low degree of 
",rather think leibnitz taking passivity low degree
516,"activity. There is no doubt - and in this Wahl is certainly right - that the 
",activity doubt wahl certainly right
517,"priority of passivity, of the ideas of ""passive synthesis,"" and ""passive genesis"" 
",priority passivity ideas passive synthesis passive genesis
518,"for example, emerges slowly and late in Husserl's thought. What Wahl 
",example emerges slowly late husserls thought wahl
519,"overlooks - and this is pointed out by Landgrebe in his letter to Wahl, 
",overlooks pointed landgrebe letter wahl
520,"translated for this volume - is that ""receptivity"" and ""passivity"" are not to be 
",translated volume receptivity passivity
521,"confused, so that whereas receptivity, for Husserl, is a lower level of 
",confused whereas receptivity husserl lower level
522,"spontaneity, passivity is not. 
",spontaneity passivity
523,"Landgrebe's own contribution to our understanding of the problem 
",landgrebes contribution understanding problem
524,"of constitution lies in a distinction that he draws between methodological and 
",constitution lies distinction draws methodological
525,"idealistic, metaphysical interpretations. The idealistic interpretation proceeds 
",idealistic metaphysical interpretations idealistic interpretation proceeds
526,"on the understanding of consciousness as a region of absolute Being (in itself. 
",understanding consciousness region absolute
527,"an inauthentic mode of speech) and of constitution as a positing of the world 
",inauthentic mode speech constitution positing world
528,"within and by transcendental sUbjectivity. The methodological, or also called 
",within transcendental subjectivity methodological also called
529,"by him critical-transcendental understanding, takes the idea of correlation as 
",criticaltranscendental understanding takes idea correlation
530,"fundamental and irreducible and then means by ""constitution"" the ""bringing 
",fundamental irreducible means constitution bringing
531,"to appearance of entities. ''21 This is not very far from Funke's interpretation: 
",appearance entities far funkes interpretation
532,"epoche, Funke writes, consists in the correlation between subjective 
",epoche funke writes consists correlation subjective
533,"performances and objective phenomena together with the fundamental 
",performances objective phenomena together fundamental
534,"historicity of rational-critical consciousness.22 (Note that the novelty of 
",historicity rationalcritical consciousness note novelty
535,"Funke's approach lies not so much in the emphasis on correlation or 
",funkes approach lies much emphasis correlation
536,"historicity, as on the rational-critical aspect.) And he writes in his 
",historicity rationalcritical aspect writes
537,"contribution to the present volume that constitution is ""the appearance of 
",contribution present volume constitution appearance
538,"sense in its appearing, or the autonomous occurring ofthat which shows itself 
",sense appearing autonomous occurring ofthat shows
539,"Given, then, these two understandings of constitution - the methodological 
",given two understandings constitution methodological
540,"and the idealistic, metaphysical - Landgrebe further contends that Husserl 
",idealistic metaphysical landgrebe contends husserl
541,"never resolved this tension to satisfaction; that while from the very beginning 
",never resolved tension satisfaction beginning
542,"the idealistic tinge was there he also sought to overcome it. Taking up, as a 
",idealistic tinge also sought overcome taking
543,"concrete example, the question of the distinction between nature and spirit as 
",concrete example question distinction nature spirit
544,"regions of being, Landgrebe argues how, as Husserl moved from one 
",regions landgrebe argues husserl moved one
545,"conception of nature to another, he also moved from the methodological to 
",conception nature another also moved methodological
546,"the idealistic understanding of constitution. And, he raises the fundamental 
",idealistic understanding constitution raises fundamental
547,"issue which every idealism has to face: if all nature (understood as the 
",issue every idealism face nature understood
548,"founding region) is constituted, can the ""positing"" act of consciousness 
",founding region constituted positing act consciousness
549,"account for sensation and the phenomenon of receptivity associated with 
",account sensation phenomenon receptivity associated
550,"sensation? We indeed do appear to reach a limit of constitution as we come to 
",sensation indeed appear reach limit constitution come
551,"the problem of sensation. If the hyle is expelled from consciousness, the latter 
",problem sensation hyle expelled consciousness latter
552,"does not become Sartrean pure nothingness. On the contrary, corporeality 
",become sartrean pure nothingness contrary corporeality
553,"and kinaesthesis are located within the structure of transcendental 
",kinaesthesis located within structure transcendental
554,"subjectivity, so that Landgrebe could attempt to explain sensation as a mode 
",subjectivity landgrebe could attempt explain sensation mode
555,"of being-in-the-world entirely on the basis of Husserlian concepts and 
",beingintheworld entirely basis husserlian concepts
556,"without making explicit use of Heideggerian Daseinsanalytik. 23 It is in the 
",without making explicit use heideggerian daseinsanalytik
557,"light of this and of the distinction between ""passivity"" and ""receptivity"" that 
",light distinction passivity receptivity
558,"Wahl's reading of Husserl's Experience and Judgment needs to be appraised. 
",wahls reading husserls experience judgment needs appraised
559,"It is important also to bear in mind - in view of the fact that Wahl ascribes to 
",important also bear mind view fact wahl ascribes
560,"Experience and Judgment not only an empiricism but also a realism - that the 
",experience judgment empiricism also realism
561,"Experience and Judgment begins with, and moves within, the horizon set free 
",experience judgment begins moves within horizon set free
562,"by phenomenological reduction. 
",phenomenological reduction
563,"VI 
",vi
564,"What happens to the concept of ""a priori""? The concept of ""a priori"" does not 
",happens concept priori concept priori
565,"coincide with that of essence. All essences are a priori insofar as they not only 
",coincide essence essences priori insofar
566,"ground universal and necessary truths, but also are possible objects of non-
",ground universal necessary truths also possible objects non
567,"sensible intuition. Let us first see how the Husserlian concept of essence is 
",sensible intuition let us first see husserlian concept essence
568,"understood in these essays. When Fink distinguishes between two concepts of 
",understood essays fink distinguishes two concepts
569,"essence, pre-philosophical and philosophical, or when he asserts that the 
",essence prephilosophical philosophical asserts
570,"Husserlian essence, unlike the traditional concept of essence as the ground of 
",husserlian essence unlike traditional concept essence ground
571,"appearances, is the invariant sense - he is indicating but not explicitly 
",appearances invariant sense indicating explicitly
572,"articulating an important distinction which often gets blurred in the writings 
",articulating important distinction often gets blurred writings
573,"of Husserl himself as well as his commentators, namely, the distinction 
",husserl well commentators namely distinction
574,"between essence and sense, the former being an antic concept and the latter a 
",essence sense former antic concept latter
575,"truly phenomenological concept. In how strongly an ontological sense, then, 
",truly phenomenological concept strongly ontological sense
576,"are we to understand Husser!'s essentialism? My own preference is to say 
",understand hussers essentialism preference say
577,"something like this: Husser! did believe that there are essences as much as there 
",something like husser believe essences much
578,"are real individual things. What he tried to clarify is the sense of the being of 
",real individual things tried clarify sense
579,"essences (and the sense of being of individual things as also the sense of Being 
",essences sense individual things also sense
580,"in general). Neither traditional realism nor conceptualism did justice to that 
",general neither traditional realism conceptualism justice
581,"problem.24 This of course led to his thesis about eidetic intuition and about 
",problem course led thesis eidetic intuition
582,"the analogy between empirical intuition and eidetic intuition. The analogy is 
",analogy empirical intuition eidetic intuition analogy
583,"not valid in all respects; no analogy is. It is important to see both in what 
",valid respects analogy important see
584,"respects the analogy holds good and in what respects it does not.25 Once we 
",respects analogy holds good respects
585,"see both sides of the picture, a likely ontological naivety with regard to 
",see sides picture likely ontological naivety regard
586,"essences gets corrected and balanced by a critical understanding of their 
",essences gets corrected balanced critical understanding
587,"function. 
",function
588,"It is to the need for such an understanding that Landgrebe, Wahl, as well as 
",need understanding landgrebe wahl well
589,"Pentzopoulou-Valalas (in an essay specifically concerned with the a priori 
",pentzopoulouvalalas essay specifically concerned priori
590,"and the eidos in Husserl) draw our attention. Landgrebe has been long since 
",eidos husserl draw attention landgrebe long since
591,"emphasising that H usserlian essences should not be construed as constituting 
",emphasising h usserlian essences construed constituting
592,"a region of metaphysical entities; they rather provide the horizon of 
",region metaphysical entities rather provide horizon
593,"possibilities of comprehension of subjectivity as transcendental.26 For 
",possibilities comprehension subjectivity transcendental
594,"Landgrebe, regional distinctions of being (and so the essences of such regions) 
",landgrebe regional distinctions essences regions
595,"articulate historically accomplished interpretations and so provide the 
",articulate historically accomplished interpretations provide
596,"guiding principles for investigating back to the constituting performances of 
",guiding principles investigating back constituting performances
597,"transcendental SUbjectivity. Likewise, the ""free variation"" which is supposed 
",transcendental subjectivity likewise free variation supposed
598,"to lead to eidetic intuition of essences has, for Landgrebe, no other sense than 
",lead eidetic intuition essences landgrebe sense
599,"articulating the possibilities of the constituting consciousness. To say that to 
",articulating possibilities constituting consciousness say
600,"comprehend and understand an individual one needs to grasp its essence 
",comprehend understand individual one needs grasp essence
601,"means then no more than that only through pure possibilities (of variation) 
",means pure possibilities variation
602,"can the actual, factually constituted world be made intelligible in its horizons 
",actual factually constituted world made intelligible horizons
603,"and limits. 
",limits
604,"Merleau-Ponty has written, in a well-known passage, that ""the essence is 
",merleauponty written wellknown passage essence
605,"here not the end, but a means,"" that philosophy ""requires the field of ideality 
",end means philosophy requires field ideality
606,"in order to become acquainted with and to prevail over its facticity"" and 
",order become acquainted prevail facticity
607,"therefore phenomenology at the end puts essences back into existence.27 This 
",therefore phenomenology end puts essences back existence
608,"is true for all three, Landgrebe, Pentzopoulou-Valalas and Wahl, in different 
",true three landgrebe pentzopoulouvalalas wahl different
609,"senses though, and no one of them agrees entirely with Merleau-Ponty's 
",senses though one agrees entirely merleaupontys
610,"perception of the situation. For Landgrebe, Husser! maintains the primacy of 
",perception situation landgrebe husser maintains primacy
611,"the factual, the transcendental fact, which is none other than the 
",factual transcendental fact none
612,"transcendental field of experience (not to be construed as an eidos). For 
",transcendental field experience construed eidos
613,"Pentzopoulou-Valalas, the Husserlian essence has a purely epistemological, 
",pentzopoulouvalalas husserlian essence purely epistemological
614,"non-ontological sense; the material essence, for example, is the possibly a 
",nonontological sense material essence example possibly
615,"posteriori, the a priori ot a posteriori, the possible perception, so that a 
",posteriori priori ot posteriori possible perception
616,"posteriori continues to have a central position in Husserl's thinking. Jean 
",posteriori continues central position husserls thinking jean
617,"Wahl (whom Merleau-Ponty accuses of wrongly ascribing to Husserl a 
",wahl merleauponty accuses wrongly ascribing husserl
618,"separation of essences from existence28) finds in the Experience and 
",separation essences existence finds experience
619,"Judgment a considerable modification of the earlier doctrine of essences in 
",judgment considerable modification earlier doctrine essences
620,"the direction of empiricism and an ""ante-predicative realism."" 
",direction empiricism antepredicative realism
621,"All this is true. But if Husserl's essentialism finds its complement in his 
",true husserls essentialism finds complement
622,"empiricism, that is because H usserl 's concept of ""experience,"" as Landgrebe 
",empiricism h usserl concept experience landgrebe
623,"has seen more clearly than most commentators, makes the fact-essence 
",seen clearly commentators makes factessence
624,"distinction ultimately untenable, and also because transcendental thinking in 
",distinction ultimately untenable also transcendental thinking
625,"the long run comes to terms with a last dimension of facticity in the 
",long run comes terms last dimension facticity
626,"historically unfolding life of consciousness. Nevertheless, the concept of a 
",historically unfolding life consciousness nevertheless concept
627,"priori, released from the restrictions of the concept of eidos, remains 
",priori released restrictions concept eidos remains
628,"sovereign. Even if transcendental subjectivity is not itself an eidos (although 
",sovereign even transcendental subjectivity eidos although
629,"one can speak of an eidos ""transcendental ego""), it nevertheless has a priori 
",one speak eidos transcendental ego nevertheless priori
630,"structures. The one a priori structure which comprehends all others is the so-
",structures one priori structure comprehends others
631,"called correlation a priori- the correlation between the a priori of 
",called correlation priori correlation priori
632,"consciousness and the a priori of being. This noetic-noematic correlation 
",consciousness priori noeticnoematic correlation
633,"comprehends within itself all that is philosophically relevant from pre-
",comprehends within philosophically relevant pre
634,"phenomenological ontology. 
",phenomenological ontology
635,"A last feature of the Husserlian thought about the a priori, particularly 
",last feature husserlian thought priori particularly
636,"when placed against the background of the tradition, may be found in two 
",placed background tradition may found two
637,"conceptions: one to be found in the earlier writings, especially in the Ideas I, 
",conceptions one found earlier writings especially ideas
638,"and the other in the Crisis of the late period. The former is the idea of an 
",crisis late period former idea
639,"individual's own essence, the latter is the idea of the a priori of history as a 
",individuals essence latter idea priori history
640,"historical a priori. Both point to what Eley has recently called the crisis of the 
",historical priori point eley recently called crisis
641,"a priori: 29 the a priori does not any longer function as logical universality, 
",priori priori longer function logical universality
642,"but is taken to characterise the individual in its unique individuality. 
",taken characterise individual unique individuality
643,"Landgrebe's second essay in this volume takes up the question ofthe historical 
",landgrebes second essay volume takes question ofthe historical
644,"a priori of the lifeworld. The lifeworld, as Landgrebe understands it, is the 
",priori lifeworld lifeworld landgrebe understands
645,"historical world. The a priori ot the lifeworld must be the condition of the 
",historical world priori ot lifeworld must condition
646,"possibility of history as a science as well as of the prescientific experience of 
",possibility history science well prescientific experience
647,"history. What makes it possible that our lifeworld is historical world? In trying 
",history makes possible lifeworld historical world trying
648,"to answer this question, Landgrebe wants to go back to the ""primal evidences"" 
",answer question landgrebe wants go back primal evidences
649,"in ""the innermost self-experience of reflecting transcendental subjectivity,"" 
",innermost selfexperience reflecting transcendental subjectivity
650,"evidences belonging to the ""living present"" in which transcendental 
",evidences belonging living present transcendental
651,"subjectivity as a flux is constituted. But if the a priori of history is to be found 
",subjectivity flux constituted priori history found
652,"in the ""living present,"" it can signify the invariant but not what is 
",living present signify invariant
653,"comprehended in its totality. The defacto reflecting subjectivity must always 
",comprehended totality defacto reflecting subjectivity must always
654,"transcend itself; as free, ""open reason,"" it cannot be, in all its possibilities, 
",transcend free open reason cannot possibilities
655,"grasped in advance. In this sense, for Landgrebe, the a priori of history is also 
",grasped advance sense landgrebe priori history also
656,"a historical a priori. One still may ask: why not say that the historical is an open 
",historical priori one still may ask say historical open
657,"process with no invariant content, but always made possible by an invariant 
",process invariant content always made possible invariant
658,"form, the formal structure of the inner time consciousness? If that is so, how 
",form formal structure inner time consciousness
659,"are we to understand the claim that this invariant form itself is historical? 
",understand claim invariant form historical
660,"VII 
",vii
661,"In this review of the problems, issues and interpretative points of view, we are 
",review problems issues interpretative points view
662,"encountering, again and again, several oppositions: empiricism-rationalism, 
",encountering several oppositions empiricismrationalism
663,"static constitution and genetic constitution, a-historicity and historicity of 
",static constitution genetic constitution ahistoricity historicity
664,"transcendental subjectivity. Gerhard Funke in many ways has struggled to work 
",transcendental subjectivity gerhard funke many ways struggled work
665,"out an almost unique interpretation of phenomenology in which these 
",almost unique interpretation phenomenology
666,"oppositions have been allotted their rightful places. To understand Funke's 
",oppositions allotted rightful places understand funkes
667,"reading of Husser!, we need to go beyond the essay translated for this volume 
",reading husser need go beyond essay translated volume
668,"and refer to his two earlier books to which references have already been made 
",refer two earlier books references already made
669,"in this introduction. 
",introduction
670,"Funke wants to correct the one-sided scheme of a thoroughgoing 
",funke wants correct onesided scheme thoroughgoing
671,"object-intentional structure of consciousness. Consciousness is not merely 
",objectintentional structure consciousness consciousness merely
672,"intentionally directed towards its object, but also appears to itself, is 
",intentionally directed towards object also appears
673,"conscious of itself. The latter aspect, i.e., self-consciousness, is also an 
",conscious latter aspect ie selfconsciousness also
674,"intentionality, but should not be construed as though it were a case of act-
",intentionality construed though case act
675,"intentionality. In other words, the acts present themselves to themselves 
",intentionality words acts present
676,"immediately as flowing, streaming without themselves being objectified and 
",immediately flowing streaming without objectified
677,"intended. This is what Sartre has called the translucency of pre-reflective 
",intended sartre called translucency prereflective
678,"consciousness. In their object-intentional aspect, the acts constitute objective 
",consciousness objectintentional aspect acts constitute objective
679,"senses, noemata, which are a-historical unities, and, in the long run, the world 
",senses noemata ahistorical unities long run world
680,"as nexus of such senses. But in their aspect as subjective appearings (Funke 
",nexus senses aspect subjective appearings funke
681,"uses the word ""Phansis"" for this aspect), the conscious experiences generate 
",uses word phansis aspect conscious experiences generate
682,"habitualities. It is in such habitualities that the ego has its genesis. This is the 
",habitualities habitualities ego genesis
683,"concrete monadic ego. The concrete ego is thus constituted, its constitution 
",concrete monadic ego concrete ego thus constituted constitution
684,"being a sort of auto-genesis, radically different from the constitution of 
",sort autogenesis radically different constitution
685,"noemata. Thus the acts refer, on the one hand, to the noemata they constitute, 
",noemata thus acts refer one hand noemata constitute
686,"and, on the other, to the ego which has its genesis in the habitualities founded 
",ego genesis habitualities founded
687,"on acts as subjective experiencings. Both the world (as a noematic structure) 
",acts subjective experiencings world noematic structure
688,"and the concrete monadic ego as the substrate of habitualities are 
",concrete monadic ego substrate habitualities
689,"transcendent to the acts regarded as sUbjective experiencings. The 
",transcendent acts regarded subjective experiencings
690,"transcendental is then that which fully surpasses both transcendencies and 
",transcendental fully surpasses transcendencies
691,"makes them possible. 30 
",makes possible
692,"Of these two transcendencies, the noemata are a-historical, but the ego is a 
",two transcendencies noemata ahistorical ego
693,"historically self-constituting unity. For Funke, it is not ""man"" or ""culture"" 
",historically selfconstituting unity funke man culture
694,"that is genuinely historical, but the ego. The stream of acts, or in Funke's 
",genuinely historical ego stream acts funkes
695,"language, of appearings (of the appearances), regarded as constituting, is 
",language appearings appearances regarded constituting
696,"transcendental subjectivity of the flux. Transcendental consciousness is 
",transcendental subjectivity flux transcendental consciousness
697,"nothing but everyday consciousness with its I-world structure, with the 
",nothing everyday consciousness iworld structure
698,"difference that unlike everyday consciousness it does not naively posit I and 
",difference unlike everyday consciousness naively posit
699,"world as existents. It is not clear though, from Funke's account, how for him 
",world existents clear though funkes account
700,"transcendental ego is different from the concrete monadic ego. It is most 
",transcendental ego different concrete monadic ego
701,"likely that he regards the same concrete monadic ego as both empirical and 
",likely regards concrete monadic ego empirical
702,"transcendental. But then the concept of ""transcendental"" would not coincide 
",transcendental concept transcendental would coincide
703,"with that of ""constituting,"" for the ego is, on this theory, constituted even if its 
",constituting ego theory constituted even
704,"constitution is auto-constitution. 
",constitution autoconstitution
705,"What, however, is most striking about Funke's understanding of 
",however striking funkes understanding
706,"phenomenology is the centrality he accords to the ideas of ""reason"" and 
",phenomenology centrality accords ideas reason
707,"""criticism."" Earlier, I distinguished between a transcendental philosophy 
",criticism earlier distinguished transcendental philosophy
708,"which, in the Kantian spirit, seeks to enquire into the conditions of validity or 
",kantian spirit seeks enquire conditions validity
709,"truth, and which also itself may, in the Platonic spirit, aim at arriving at a 
",truth also may platonic spirit aim arriving
710,"body of apodictic, founding truths, and a transcendental philosophy which 
",body apodictic founding truths transcendental philosophy
711,"limits itself to the more modest task of clarification of the constitution of 
",limits modest task clarification constitution
712,"meanings. 3! Funke's conception of phenomenology has something in 
",meanings funkes conception phenomenology something
713,"common with both. Unlike the Platonic enterprise, phenomenology, 
",common unlike platonic enterprise phenomenology
714,"according to Funke, is not a metaphysics but a method. But unlike the sort of 
",according funke metaphysics method unlike sort
715,"phenomenology which limits itself to the clarification of sense, Funke, in the 
",phenomenology limits clarification sense funke
